Precursor	logFC	mean_cancer	mean_normal	ttest_pvalue	BH.adjusted_pvalues	Precursor.ID	miRNA.ID	miRNA.name
hsa-mir-142	1.88	12.65	10.77	5.19904609482448e-20	3.78889386636524e-19	MI0000458	MIMAT0000433	hsa-miR-142-5p
hsa-mir-142	1.88	12.65	10.77	5.19904609482448e-20	3.78889386636524e-19	MI0000458	MIMAT0000434	hsa-miR-142-3p
hsa-mir-155	1.44	10.23	8.79	5.50277059084445e-20	3.95604588422871e-19	MI0000681	MIMAT0000646	hsa-miR-155-5p
hsa-mir-155	1.44	10.23	8.79	5.50277059084445e-20	3.95604588422871e-19	MI0000681	MIMAT0004658	hsa-miR-155-3p
hsa-mir-301a	1.65	5.42	3.77	8.30790378981008e-20	5.89307308823862e-19	MI0000745	MIMAT0000688	hsa-miR-301a-3p
hsa-mir-301a	1.65	5.42	3.77	8.30790378981008e-20	5.89307308823862e-19	MI0000745	MIMAT0022696	hsa-miR-301a-5p
hsa-mir-493	1.63	5.37	3.74	9.81643243511429e-20	6.87150270458e-19	MI0003132	MIMAT0003161	hsa-miR-493-3p
hsa-mir-493	1.63	5.37	3.74	9.81643243511429e-20	6.87150270458e-19	MI0003132	MIMAT0002813	hsa-miR-493-5p
hsa-mir-3117	0.78	1.21	0.43	1.24908945941906e-19	8.6300726287135e-19	MI0014130	MIMAT0014979	hsa-miR-3117-3p
hsa-mir-3117	0.78	1.21	0.43	1.24908945941906e-19	8.6300726287135e-19	MI0014130	MIMAT0019197	hsa-miR-3117-5p
hsa-mir-128-2	1.27	7.58	6.31	1.95461301351343e-19	1.33314631178095e-18	MI0000727	MIMAT0000424_1	hsa-miR-128-3p
hsa-mir-128-2	1.27	7.58	6.31	1.95461301351343e-19	1.33314631178095e-18	MI0000727	MIMAT0031095	hsa-miR-128-2-5p
hsa-mir-3199-2	-1.16	1.43	2.59	3.12942135991438e-19	2.10740780186639e-18	MI0014248	MIMAT0015084_1	hsa-miR-3199
hsa-mir-200b	2.44	11.12	8.68	6.7288385291181e-19	4.47467762186353e-18	MI0000342	MIMAT0000318	hsa-miR-200b-3p
hsa-mir-200b	2.44	11.12	8.68	6.7288385291181e-19	4.47467762186353e-18	MI0000342	MIMAT0004571	hsa-miR-200b-5p
hsa-mir-584	-1.4	6.92	8.32	8.58612416616637e-19	5.63928155111174e-18	MI0003591	MIMAT0003249	hsa-miR-584-5p
hsa-mir-584	-1.4	6.92	8.32	8.58612416616637e-19	5.63928155111174e-18	MI0003591	MIMAT0022708	hsa-miR-584-3p
hsa-mir-32	1.71	6.66	4.95	1.1330833405347e-18	7.35122362395684e-18	MI0000090	MIMAT0000090	hsa-miR-32-5p
hsa-mir-32	1.71	6.66	4.95	1.1330833405347e-18	7.35122362395684e-18	MI0000090	MIMAT0004505	hsa-miR-32-3p
hsa-mir-196a-2	1.74	6.42	4.68	1.87571371070567e-18	1.18795201678026e-17	MI0000279	MIMAT0004562	hsa-miR-196a-3p
hsa-mir-383	-1.98	1.11	3.09	5.07433917537435e-18	3.10292924287259e-17	MI0000791	MIMAT0026485	hsa-miR-383-3p
hsa-mir-383	-1.98	1.11	3.09	5.07433917537435e-18	3.10292924287259e-17	MI0000791	MIMAT0000738	hsa-miR-383-5p
hsa-mir-769	0.94	6.69	5.76	7.78098544523186e-18	4.70395938279926e-17	MI0003834	MIMAT0003887	hsa-miR-769-3p
hsa-mir-769	0.94	6.69	5.76	7.78098544523186e-18	4.70395938279926e-17	MI0003834	MIMAT0003886	hsa-miR-769-5p
hsa-mir-200c	2.42	15.25	12.84	1.08324407568699e-17	6.47512189062337e-17	MI0000650	MIMAT0004657	hsa-miR-200c-5p
hsa-mir-200c	2.42	15.25	12.84	1.08324407568699e-17	6.47512189062337e-17	MI0000650	MIMAT0000617	hsa-miR-200c-3p
hsa-mir-137	0.58	0.77	0.19	1.09677509733791e-17	6.4831594642641e-17	MI0000454	MIMAT0000429	hsa-miR-137-3p
hsa-mir-137	0.58	0.77	0.19	1.09677509733791e-17	6.4831594642641e-17	MI0000454	MIMAT0037310	hsa-miR-137-5p
hsa-mir-375	2.45	15.27	12.82	1.19658809351194e-17	6.9781665977043e-17	MI0000783	MIMAT0000728	hsa-miR-375-3p
hsa-mir-375	2.45	15.27	12.82	1.19658809351194e-17	6.9781665977043e-17	MI0000783	MIMAT0037313	hsa-miR-375-5p
hsa-mir-658	0.61	0.91	0.3	1.38220970599797e-17	7.9068340171067e-17	MI0003682	MIMAT0003336	hsa-miR-658
hsa-mir-128-1	1.1	8.18	7.08	1.68038689084193e-17	9.51027474391393e-17	MI0000447	MIMAT0026477	hsa-miR-128-1-5p
hsa-mir-224	-1.84	5.81	7.65	3.7819784334188e-17	2.11790792271453e-16	MI0000301	MIMAT0000281	hsa-miR-224-5p
hsa-mir-224	-1.84	5.81	7.65	3.7819784334188e-17	2.11790792271453e-16	MI0000301	MIMAT0009198	hsa-miR-224-3p
hsa-mir-3652	0.96	1.69	0.74	5.23635161955396e-17	2.90181152250282e-16	MI0016052	MIMAT0018072	hsa-miR-3652
hsa-mir-877	1.22	2.56	1.34	5.84874391702041e-17	3.20776470500501e-16	MI0005561	MIMAT0004949	hsa-miR-877-5p
hsa-mir-877	1.22	2.56	1.34	5.84874391702041e-17	3.20776470500501e-16	MI0005561	MIMAT0004950	hsa-miR-877-3p
hsa-mir-335	-1.66	8.03	9.69	7.1838742009031e-17	3.8998174233474e-16	MI0000816	MIMAT0000765	hsa-miR-335-5p
hsa-mir-335	-1.66	8.03	9.69	7.1838742009031e-17	3.8998174233474e-16	MI0000816	MIMAT0004703	hsa-miR-335-3p
hsa-mir-503	1.64	5.36	3.72	9.99920229065256e-17	5.373308705684e-16	MI0003188	MIMAT0022925	hsa-miR-503-3p
hsa-mir-503	1.64	5.36	3.72	9.99920229065256e-17	5.373308705684e-16	MI0003188	MIMAT0002874	hsa-miR-503-5p
hsa-mir-378c	-1.37	3.91	5.28	1.15616154686134e-16	6.15077942930232e-16	MI0015825	MIMAT0016847	hsa-miR-378c
hsa-mir-144	-2.35	6.95	9.3	2.91306271931739e-16	1.51936212419299e-15	MI0000460	MIMAT0004600	hsa-miR-144-5p
hsa-mir-144	-2.35	6.95	9.3	2.91306271931739e-16	1.51936212419299e-15	MI0000460	MIMAT0000436	hsa-miR-144-3p
